,start,finish,duration
472,21766.0,21809.0,43.0
473,21810.0,21853.0,43.0
474,22157.0,22200.0,43.0
475,22194.0,22256.0,62.0
476,22229.0,22276.0,47.0
477,22313.0,22356.0,43.0
478,22527.0,22575.0,48.0
479,22534.0,22601.0,67.0
480,22536.0,22624.0,88.0
481,22538.0,22631.0,93.0
482,22551.0,22652.0,101.0
483,22569.0,22672.0,103.0
484,22611.0,22687.0,76.0
485,22617.0,22702.0,85.0
486,22625.0,22725.0,100.0
487,22680.0,22741.0,61.0
488,22734.0,22780.0,46.0
489,22759.0,22809.0,50.0
490,22808.0,22862.0,54.0
491,22839.0,22887.0,48.0
492,22847.0,22899.0,52.0
493,22899.0,22946.0,47.0
494,22936.0,22980.0,44.0
495,22950.0,23005.0,55.0
496,23017.0,23057.0,40.0
497,23050.0,23097.0,47.0
498,23067.0,23127.0,60.0
499,23080.0,23138.0,58.0
500,23162.0,23212.0,50.0
501,23291.0,23343.0,52.0
502,23319.0,23364.0,45.0
503,23409.0,23457.0,48.0
504,23417.0,23484.0,67.0
505,23426.0,23491.0,65.0
506,23455.0,23527.0,72.0
507,23506.0,23549.0,43.0
508,23600.0,23640.0,40.0
509,23654.0,23697.0,43.0
510,23699.0,23747.0,48.0
511,23715.0,23777.0,62.0
512,23717.0,23788.0,71.0
513,23740.0,23795.0,55.0
514,23858.0,23905.0,47.0
515,24002.0,24048.0,46.0
516,24041.0,24086.0,45.0
517,24245.0,24289.0,44.0
518,24290.0,24338.0,48.0
519,24293.0,24361.0,68.0
520,24399.0,24439.0,40.0
521,24512.0,24559.0,47.0
522,24544.0,24587.0,43.0
523,24715.0,24765.0,50.0
524,24733.0,24788.0,55.0
525,24764.0,24820.0,56.0
526,24790.0,24850.0,60.0
527,24800.0,24866.0,66.0
528,24813.0,24879.0,66.0
529,24868.0,24919.0,51.0
530,24890.0,24939.0,49.0
531,24963.0,25010.0,47.0
532,25029.0,25069.0,40.0
533,25085.0,25133.0,48.0
534,25095.0,25154.0,59.0
535,25136.0,25183.0,47.0
536,25152.0,25210.0,58.0
537,25200.0,25250.0,50.0
538,25224.0,25271.0,47.0
539,25315.0,25358.0,43.0
540,25340.0,25391.0,51.0
541,25348.0,25413.0,65.0
542,25353.0,25423.0,70.0
543,25441.0,25494.0,53.0
544,25476.0,25526.0,50.0
545,25495.0,25549.0,54.0
546,25518.0,25574.0,56.0
547,25637.0,25684.0,47.0
548,25689.0,25739.0,50.0
549,25751.0,25794.0,43.0
550,25839.0,25893.0,54.0
551,25869.0,25913.0,44.0
552,25959.0,26009.0,50.0
553,25963.0,26028.0,65.0
554,25985.0,26046.0,61.0
555,26103.0,26150.0,47.0
556,26160.0,26200.0,40.0
557,26190.0,26235.0,45.0
558,26260.0,26303.0,43.0
559,26327.0,26378.0,51.0
560,26363.0,26407.0,44.0
561,26366.0,26433.0,67.0
562,26526.0,26576.0,50.0
563,26555.0,26601.0,46.0
564,26602.0,26647.0,45.0
565,26614.0,26668.0,54.0
566,26783.0,26827.0,44.0
567,26936.0,26986.0,50.0
568,26945.0,27017.0,72.0
569,26951.0,27019.0,68.0
570,26954.0,27041.0,87.0
571,27018.0,27069.0,51.0
572,27133.0,27190.0,57.0
573,27140.0,27199.0,59.0
574,27166.0,27232.0,66.0
575,27207.0,27252.0,45.0
576,27260.0,27305.0,45.0
577,27269.0,27333.0,64.0
578,27288.0,27365.0,77.0
579,27299.0,27369.0,70.0
580,27331.0,27389.0,58.0
581,27337.0,27409.0,72.0
582,27452.0,27499.0,47.0
583,27466.0,27517.0,51.0
584,27506.0,27566.0,60.0
585,27524.0,27572.0,48.0
586,27648.0,27693.0,45.0
587,27653.0,27713.0,60.0
588,27702.0,27747.0,45.0
589,27753.0,27797.0,44.0
590,27875.0,27927.0,52.0
591,27887.0,27940.0,53.0
592,28001.0,28041.0,40.0
593,28048.0,28091.0,43.0
594,28121.0,28171.0,50.0
595,28145.0,28193.0,48.0
596,28160.0,28213.0,53.0
597,28247.0,28290.0,43.0
598,28260.0,28313.0,53.0
599,28306.0,28357.0,51.0
600,28315.0,28371.0,56.0
601,28375.0,28425.0,50.0
602,28401.0,28466.0,65.0
603,28410.0,28477.0,67.0
604,28412.0,28492.0,80.0
605,28453.0,28509.0,56.0
606,28517.0,28560.0,43.0
607,28601.0,28644.0,43.0
608,28603.0,28666.0,63.0
609,28724.0,28773.0,49.0
610,28745.0,28798.0,53.0
611,28780.0,28829.0,49.0
612,28897.0,28937.0,40.0
613,28969.0,29015.0,46.0
614,29005.0,29052.0,47.0
615,29064.0,29111.0,47.0
616,29105.0,29145.0,40.0
617,29178.0,29221.0,43.0
618,29228.0,29285.0,57.0
619,29246.0,29298.0,52.0
620,29251.0,29313.0,62.0
621,29287.0,29344.0,57.0
622,29303.0,29367.0,64.0
623,29305.0,29379.0,74.0
624,29327.0,29398.0,71.0
625,29387.0,29441.0,54.0
626,29392.0,29464.0,72.0
627,29409.0,29479.0,70.0
628,29421.0,29500.0,79.0
629,29467.0,29526.0,59.0
630,29489.0,29540.0,51.0
631,29559.0,29610.0,51.0
632,29571.0,29629.0,58.0
633,29594.0,29660.0,66.0
