,start,finish,duration
321,14304.0,14365.0,61.0
322,14310.0,14365.0,55.0
323,14392.0,14435.0,43.0
324,14459.0,14545.0,86.0
325,14461.0,14546.0,85.0
326,14466.0,14547.0,81.0
327,14468.0,14544.0,76.0
328,14472.0,14547.0,75.0
329,14590.0,14644.0,54.0
330,14626.0,14667.0,41.0
331,14723.0,14766.0,43.0
332,14817.0,14860.0,43.0
333,14879.0,14922.0,43.0
334,14950.0,15005.0,55.0
335,14952.0,15005.0,53.0
336,14978.0,15018.0,40.0
337,15030.0,15078.0,48.0
338,15043.0,15091.0,48.0
339,15082.0,15123.0,41.0
340,15134.0,15208.0,74.0
341,15138.0,15212.0,74.0
342,15149.0,15212.0,63.0
343,15151.0,15217.0,66.0
344,15182.0,15225.0,43.0
345,15254.0,15305.0,51.0
346,15256.0,15306.0,50.0
347,15325.0,15368.0,43.0
348,15399.0,15442.0,43.0
349,15447.0,15490.0,43.0
350,15552.0,15595.0,43.0
351,15680.0,15734.0,54.0
352,15692.0,15738.0,46.0
353,15722.0,15775.0,53.0
354,15748.0,15792.0,44.0
355,15822.0,15869.0,47.0
356,15859.0,15900.0,41.0
357,15935.0,15978.0,43.0
358,16054.0,16100.0,46.0
359,16072.0,16125.0,53.0
360,16106.0,16156.0,50.0
361,16108.0,16157.0,49.0
362,16195.0,16243.0,48.0
363,16206.0,16260.0,54.0
364,16241.0,16313.0,72.0
365,16259.0,16328.0,69.0
366,16261.0,16331.0,70.0
367,16269.0,16336.0,67.0
368,16278.0,16338.0,60.0
369,16350.0,16403.0,53.0
370,16388.0,16440.0,52.0
371,16390.0,16441.0,51.0
372,16477.0,16525.0,48.0
373,16494.0,16547.0,53.0
374,16525.0,16570.0,45.0
375,16577.0,16620.0,43.0
376,16626.0,16669.0,43.0
377,16688.0,16731.0,43.0
378,16756.0,16821.0,65.0
379,16758.0,16821.0,63.0
380,16781.0,16827.0,46.0
381,16793.0,16839.0,46.0
382,16848.0,16893.0,45.0
383,16875.0,16920.0,45.0
384,16931.0,16974.0,43.0
385,16998.0,17045.0,47.0
386,17035.0,17076.0,41.0
387,17086.0,17134.0,48.0
388,17108.0,17148.0,40.0
389,17182.0,17232.0,50.0
390,17192.0,17237.0,45.0
391,17266.0,17309.0,43.0
392,17342.0,17385.0,43.0
393,17385.0,17437.0,52.0
394,17391.0,17438.0,47.0
395,17468.0,17574.0,106.0
396,17479.0,17578.0,99.0
397,17482.0,17579.0,97.0
398,17484.0,17589.0,105.0
399,17517.0,17590.0,73.0
400,17519.0,17595.0,76.0
401,17521.0,17596.0,75.0
402,17586.0,17630.0,44.0
403,17629.0,17682.0,53.0
404,17663.0,17705.0,42.0
405,17792.0,17835.0,43.0
406,17955.0,17998.0,43.0
407,18178.0,18221.0,43.0
408,18227.0,18277.0,50.0
409,18253.0,18299.0,46.0
410,18301.0,18344.0,43.0
411,18491.0,18534.0,43.0
412,18539.0,18582.0,43.0
413,18592.0,18675.0,83.0
414,18594.0,18679.0,85.0
415,18598.0,18680.0,82.0
416,18608.0,18677.0,69.0
417,18625.0,18681.0,56.0
418,18712.0,18755.0,43.0
419,18769.0,18822.0,53.0
420,18778.0,18824.0,46.0
